"carrier","carrier_name","year","total_delay","carrier_delay","weather_delay","nas_delay","security_delay","late_aircraft_delay","total_delay_rel","carrier_delay_rel","weather_delay_rel","nas_delay_rel","security_delay_rel","late_aircraft_delay_rel","total_delay.pct","carrier_delay.pct","weather_delay.pct","nas_delay.pct","security_delay.pct","late_aircraft_delay.pct"
"AS","Alaska Airlines Inc.",2011,766706,262287,26333,220792,2900,254394,0.0124312004833262,0.014136990944062,0.0102928697261893,0.014427822659429,0.0356471181148821,0.0101031125588344,0.00198239946087844,0.00221329035089893,0.00157810678724354,0.00238324774325084,0.00566626481777097,0.00160592620948539
"AS","Alaska Airlines Inc.",2012,872417,280863,40336,230849,3351,317018,0.0153279638950205,0.0154613790041935,0.0176927024620473,0.0179945594381152,0.0458714340469802,0.0134503192932984,0.0022557264328976,0.00237004261676913,0.00241729067596763,0.00249180386192305,0.00654746669115535,0.00200125598512009
"AS","Alaska Airlines Inc.",2013,848473,256638,32302,270987,5875,282671,0.011794568854269,0.0121417065144425,0.0108609072902436,0.0155499560276644,0.0566805916006599,0.00933029685237689,0.00219381668823501,0.0021656216628121,0.00193582217907344,0.00292505686890973,0.011479070967036,0.00178443189525478
"AS","Alaska Airlines Inc.",2014,989491,289072,33869,304865,3943,357742,0.014071868094527,0.0135973676408408,0.0113324694036041,0.0184548016413765,0.060336648814078,0.0121334348845122,0.00255843364333143,0.00243931368430404,0.00202973070964765,0.00329073890016925,0.0077041662677486,0.00225833649391779
"AS","Alaska Airlines Inc.",2015,1074977,347425,38832,301478,5825,381417,0.0171579404010418,0.0172223148655061,0.0125255101793962,0.0210297855112271,0.0719269000432179,0.0152799476931492,0.00277946673856305,0.00293172135927842,0.00232715766385301,0.00325417933231176,0.01138137674604,0.00240779089539568
"B6","JetBlue Airways",2010,2717652,939197,57594,752270,3857,964734,0.0429617371208706,0.0488719529408214,0.020678497722974,0.0463531043399894,0.0359091332278186,0.0387159565319447,0.00702677670404982,0.0079253476447297,0.00345154301843712,0.00812006675882873,0.00753613220763539,0.00609012640149405
"B6","JetBlue Airways",2011,3341555,1069602,73981,993294,3794,1200884,0.0541792292365798,0.0576504126691396,0.0289172063651391,0.0649075586102524,0.0466362641820216,0.047692422864153,0.00863994390352451,0.00902576104001416,0.00443359731998118,0.0107217004415224,0.00741303748918037,0.00758088276512674
"B6","JetBlue Airways",2012,2772648,938191,79334,670333,4590,1080200,0.0487141452282575,0.0516469831530791,0.034798513911247,0.0522521085724005,0.0628319553194984,0.0458303153152847,0.00716897467921953,0.00791685858468096,0.00475439653131733,0.00723563176870796,0.0089683294874375,0.00681903461357625
"B6","JetBlue Airways",2013,3602733,1074604,70959,998064,10231,1448875,0.0500813607882009,0.0508401966475969,0.0238585573775122,0.0572715713772057,0.0987062353474641,0.0478239149116378,0.00931524724847461,0.00906797006423265,0.00425249229164981,0.0107731882297362,0.019990191500212,0.00914638842413006
"B6","JetBlue Airways",2014,3234229,951159,141661,937446,8216,1195747,0.0459950053871071,0.0447406134385015,0.0473993607187681,0.0567476751332618,0.125723029839327,0.0405558149807706,0.00836244117817967,0.00802628813807269,0.00848958286513908,0.010118872350083,0.0160531143940711,0.0075484541585632
"B6","JetBlue Airways",2015,3610200,1074056,115770,991461,11417,1417496,0.0576231830409779,0.0532423706272893,0.0373423545907679,0.0691599790788937,0.140976724084707,0.0567863119243459,0.00933455396679217,0.00906334580488204,0.0069379646359771,0.0107019148826553,0.0223074984222383,0.00894830058193472
"CO","Continental Air Lines Inc.",2010,2076570,619333,99141,845883,18615,493598,0.0328272547232266,0.0322275446266308,0.0355954950646486,0.0521213167591732,0.173307885671725,0.0198086920459472,0.00536919138297646,0.0052261978401266,0.00594140754923905,0.00913053349217478,0.0363715584768299,0.00311596171745233
