"carrier","carrier_name","year","total_delay","carrier_delay","weather_delay","nas_delay","security_delay","late_aircraft_delay","total_delay_rel","carrier_delay_rel","weather_delay_rel","nas_delay_rel","security_delay_rel","late_aircraft_delay_rel"
"AA","American Airlines Inc.",2011,5920542,2133621,401882,1508508,2337,1874194,9.5994350601082,11.499990756332,15.7084991125219,9.85746127773193,2.8726660356717,7.44325453394819
"AA","American Airlines Inc.",2012,6203856,2140405,343832,1419535,4362,2295722,10.8998885599325,11.7828311053683,15.0816076778328,11.0652014658867,5.97108908722554,9.74020210481727
"AA","American Airlines Inc.",2013,6355728,1927664,341701,1406221,6384,2673758,8.83505680381173,9.11990061738958,11.4890188904202,8.0692707455259,6.15913015793384,8.82543870839864
"AA","American Airlines Inc.",2014,7131277,2196265,408197,1632082,4225,2890508,10.1416171839394,10.3307904749375,13.6581535124833,9.87970071095767,6.46518745218057,9.80365475710474
"AA","American Airlines Inc.",2015,7831435,2753994,467420,1760561,16158,2833302,12.4999227876162,13.6519110040194,15.0769313145173,12.2809028219079,19.9518429338766,11.3504920753126
"AQ","Aloha Airlines Inc.",2007,139696,77812,1056,5831,1046,53951,0.138359814991486,0.269926843067991,0.0183802476390259,0.0206703598702209,0.591140800018085,0.14195037996084
"AQ","Aloha Airlines Inc.",2008,15779,8727,589,989,106,5368,0.0182125640883671,0.036289592696207,0.0127111776571595,0.00377891967296794,0.0927254277616432,0.016949665240954
"AS","Alaska Airlines Inc.",2007,2107206,722012,31513,407621,13452,932608,2.08705068369137,2.50463193102872,0.548500704402104,1.44497903629897,7.60231935166661,2.45378324691886
"AS","Alaska Airlines Inc.",2008,1507193,481833,47431,379500,7086,591343,1.73964440750607,2.00361215968735,1.02360588702331,1.45005057218537,6.1986073690472,1.86718813200101
"AS","Alaska Airlines Inc.",2009,1003897,318244,43631,291713,2834,347475,1.52092196598606,1.71967424946084,1.32601826477635,1.44267494534944,3.59526044706061,1.45324600515753
"AS","Alaska Airlines Inc.",2010,741330,239594,29271,213336,2438,256691,1.17192431480613,1.24674873247073,1.05094333932211,1.31452614984992,2.26980728051392,1.03013240936273
"AS","Alaska Airlines Inc.",2011,766706,262287,26333,220792,2900,254394,1.24312004833262,1.4136990944062,1.02928697261893,1.4427822659429,3.56471181148821,1.01031125588344
"AS","Alaska Airlines Inc.",2012,872417,280863,40336,230849,3351,317018,1.53279638950205,1.54613790041935,1.76927024620473,1.79945594381152,4.58714340469802,1.34503192932984
"AS","Alaska Airlines Inc.",2013,848473,256638,32302,270987,5875,282671,1.1794568854269,1.21417065144425,1.08609072902436,1.55499560276644,5.66805916006599,0.933029685237689
"AS","Alaska Airlines Inc.",2014,989491,289072,33869,304865,3943,357742,1.4071868094527,1.35973676408408,1.13324694036041,1.84548016413765,6.0336648814078,1.21334348845122
